Population,Latitude,Longitude,Year_start,Year_end,Altitude_class,Altitude,Treatment,Run,Vial,Heat_knockdown_time
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,17,1,18
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,17,2,10
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,18,1,11
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,18,2,9
Armidale,-30.52,151.68,2002,2002,high,1296,hardened,1,1,19
Armidale,-30.52,151.68,2002,2002,high,1296,hardened,1,2,11
Armidale,-30.52,151.68,2002,2002,high,1296,hardened,2,1,27
Armidale,-30.52,151.68,2002,2002,high,1296,hardened,2,2,19
Armidale,-30.52,151.68,2002,2002,high,1296,hardened,3,1,23
Armidale,-30.52,151.68,2002,2002,high,1296,hardened,3,2,18
Armidale,-30.52,151.68,2002,2002,high,1296,hardened,4,1,26
Armidale,-30.52,151.68,2002,2002,high,1296,hardened,4,2,20
Armidale,-30.52,151.68,2002,2002,high,1296,hardened,5,1,14
Armidale,-30.52,151.68,2002,2002,high,1296,hardened,5,2,18
Armidale,-30.52,151.68,2002,2002,high,1296,hardened,6,1,21
